FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2304,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,2710191500,68,67,M3,103,83301,83301,139761,634316107,0,0,0,0
2304,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,2710191500,68,67,M3,9,7103,7103,10189,46390456,0,0,0,0
2304,3,23,DEU,3,BOG,5,3,253,1,198,1,8,2,603199010,5,11,U,954,142,138,363,1639910,0,1340,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,603199010,5,11,U,499,68,66,190,857773,0,629,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,4202220020,5,11,U,60,26,26,9240,42235208,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6107110000,5,11,U,13,2,2,139,628786,0,36,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6107120000,5,11,U,90,13,11,844,3819626,0,218,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6112310000,5,11,U,7,1,1,64,287704,0,16,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6112410000,5,11,U,502,227,213,27167,122989882,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204420000,5,11,U,129,59,54,24682,111366487,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204490000,5,11,U,129,57,57,36036,164717313,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204620000,5,11,U,35,16,14,4165,18669404,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6206300000,5,11,U,50,23,20,5100,22860495,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6217100000,5,11,U,167,75,71,15632,70983273,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6505009000,5,11,U,100,44,44,11832,54080722,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6112410000,5,11,U,4,4,3,534,2360657,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204420000,5,11,U,23,21,19,6468,28612792,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204430000,5,11,U,2,2,2,1196,5291128,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204440000,5,11,U,5,5,4,2553,11294523,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204490000,5,11,U,20,18,16,8979,39724160,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204520000,5,11,U,8,7,7,2098,9279824,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6211420000,5,11,U,8,7,7,1352,5983045,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6211499000,5,11,U,3,3,2,662,2930471,0,0,0,0
2304,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6217100000,5,11,U,6,5,5,883,3907294,0,0,0,0
2304,3,23,DEU,3,BOG,11,0,580,1,198,1,8,2,3926909090,11,11,U,4500,222,187,8060,35938492,0,1244,80,0
2304,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,7007210000,11,11,U,25,2016,1274,35015,161640633,30896,10172,708,0
2304,3,23,DEU,3,BOG,11,3,23,1,198,1,6,2,7007210000,11,11,U,3,142,142,306,1388357,0,815,25,0
2304,3,23,DEU,3,BOG,11,3,23,1,198,1,8,1,7007210000,11,11,U,7,317,229,4940,21893224,4297,1020,60,0
2304,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,301110020,11,11,U,140,37,33,63,279181,0,0,0,0
2304,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,301110090,11,11,U,5285,363,320,4247,18819482,0,0,0,0
2304,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,8306290000,11,11,U,3485,480,455,9471,44005300,0,0,0,0
2304,3,23,DEU,3,BOG,11,3,23,1,199,1,6,1,7007210000,11,11,U,4,289,194,4986,22232684,4319,990,60,0
2304,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,8481400090,11,11,U,1,67,59,19352,86743028,0,449,0,0
2304,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,106190000,11,11,U,4,39,33,200,914182,0,0,0,0
2304,3,23,DEU,3,BOG,11,3,253,1,198,1,6,1,603129000,11,11,U,18720,760,639,3557,16065212,3465,0,0,0
2304,3,23,DEU,3,BOG,11,3,253,1,198,1,8,1,603900000,11,11,U,12496,432,418,17704,78343387,14583,0,0,0
2304,3,23,DEU,3,BOG,11,3,573,1,198,1,6,1,603121000,11,11,U,6120,190,173,740,3382016,706,0,0,39
2304,3,23,DEU,3,BOG,11,3,573,1,198,1,6,1,603129000,11,11,U,90240,3411,2965,15106,67704760,14606,0,0,195
2304,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603121000,11,11,U,16740,565,510,2983,13198810,0,0,0,0
2304,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603129000,11,11,U,92960,3485,2931,16971,75102142,0,0,0,0
2304,3,23,DEU,3,BOG,11,3,573,1,198,1,8,2,603193000,11,11,U,72,23,19,104,471550,0,0,0,0
2304,3,23,DEU,3,BOG,11,3,573,1,198,1,8,2,810901010,11,33,KG,286,339,286,2194,10242385,0,0,0,0
2304,3,23,DEU,3,BOG,11,3,573,1,199,1,8,2,301110090,11,11,U,8711,248,100,4980,22526551,0,0,0,0
2304,3,23,DEU,3,BOG,11,3,573,1,104,2,8,2,2812900000,11,33,KG,9,9,9,124,551538,0,360,34,0
2304,3,23,DEU,3,BOG,11,3,573,1,104,2,8,2,8525890000,11,11,U,1,1,1,9000,41887260,0,450,45,0
2304,3,23,DEU,3,BOG,11,3,573,1,104,2,8,2,9018909000,11,11,U,1,1,1,9000,41887260,0,450,45,0
2304,3,23,DEU,3,BOG,11,3,573,1,104,2,8,2,9701990000,11,11,U,3,84,35,6390,28906060,0,0,0,0
2304,3,23,DEU,3,BOG,11,5,245,1,198,1,6,1,603129000,11,11,U,4480,150,134,806,3568538,780,0,0,0
2304,3,23,DEU,3,BOG,11,5,245,1,198,1,8,1,603121000,11,11,U,30360,1022,948,5262,24449531,5062,0,0,0
2304,3,23,DEU,3,BOG,11,5,245,1,198,1,8,1,603129000,11,11,U,60896,2352,2182,12068,56068336,11666,0,0,0
2304,3,23,DEU,3,BOG,11,5,245,1,198,1,8,2,901211000,11,33,KG,1000,1056,1000,3930,17963676,0,0,75,3375
2304,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,8471500000,8,11,U,1,14,14,1295,5738462,0,28,0,0
2304,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,9018499000,8,11,U,2,29,29,11769,52152849,0,251,0,0
2304,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,9022130000,8,11,U,1,38,38,13613,60324797,0,291,0,0
2304,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,9022900000,8,11,U,1,32,32,2916,12922862,0,62,0,0
2304,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,9026101900,5,11,U,97,87,78,485,2232455,0,0,0,0
2304,3,23,DEU,3,BOG,11,5,245,1,199,2,8,2,8536909000,11,11,U,5,8,7,1190,5264655,0,0,0,0
2304,3,23,DEU,3,BOG,11,7,827,1,198,1,6,1,603129000,11,11,U,40200,1520,1388,7200,32108290,6974,0,0,0
2304,3,23,DEU,3,BOG,11,7,827,1,198,1,6,1,7007210000,11,11,U,32,2739,1903,30572,140867589,23656,15962,494,0
2304,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,603121000,11,11,U,1400,50,46,252,1115168,0,0,0,0
2304,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,603129000,11,11,U,10880,401,365,1862,8241623,0,0,0,0
2304,3,23,DEU,3,BOG,11,7,827,1,198,1,8,1,603129000,11,11,U,6720,215,209,1210,5482427,1164,0,0,0
2304,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,603121000,11,11,U,2890,107,91,474,2106102,0,0,0,0
2304,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,603129000,11,11,U,25280,954,850,4526,20234207,0,0,0,0
2304,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,603193000,11,11,U,1800,91,84,289,1280710,0,0,0,0
2304,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,603121000,11,11,U,10800,436,405,2052,9268392,1999,0,0,0
2304,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,603129000,11,11,U,11200,434,404,2120,9575531,2065,0,0,0
2304,3,23,DEU,3,BOG,11,8,618,1,198,1,6,2,603110000,11,11,U,1800,159,145,898,4014580,0,0,0,0
2304,3,23,DEU,3,BOG,11,8,618,1,198,1,6,2,603129000,11,11,U,9600,298,272,1788,7999057,0,0,0,0
2304,3,23,DEU,3,BOG,11,8,618,1,198,1,6,2,603193000,11,11,U,240,22,20,52,230810,0,0,0,0
2304,3,23,DEU,3,BOG,11,8,618,1,198,1,8,1,603121000,11,11,U,3340,130,119,601,2793223,579,0,0,0
2304,3,23,DEU,3,BOG,11,8,618,1,198,1,8,1,603129000,11,11,U,15760,522,478,4012,18641931,3954,0,0,0
2304,3,23,DEU,3,BOG,11,8,618,1,198,1,8,1,3305900000,11,33,KG,806,913,806,5329,24322698,2592,285,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,603121000,11,11,U,8960,294,266,1613,7493198,1554,0,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,603129000,11,11,U,77585,2798,2498,13869,64437227,13358,0,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,7007210000,11,11,U,6,197,157,3023,13819049,2595,2598,57,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,301110090,11,11,U,25950,662,530,6005,27409448,0,4794,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,804200000,11,33,KG,63,78,63,170,777512,0,135,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,804501000,11,33,KG,51,63,51,137,623929,0,109,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,804502000,11,33,KG,40,49,40,100,457091,0,80,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,807190000,11,33,KG,12,15,12,29,133471,0,23,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,810901030,11,33,KG,236,290,236,575,2628273,0,457,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,810902000,11,33,KG,63,78,63,231,1055880,0,184,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,810903000,11,33,KG,145,178,145,390,1782655,0,310,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,810904000,11,33,KG,81,100,81,275,1255629,0,219,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,810905000,11,33,KG,1420,1748,1420,6138,28056246,0,4883,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,810909010,11,33,KG,58,71,58,300,1371273,0,239,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,810909020,11,33,KG,38,46,38,143,651355,0,113,0,0
2304,3,23,DEU,3,BOG,11,9,249,1,104,2,8,2,7007210000,11,11,U,10,669,496,1480,6758421,0,4440,157,0
2304,3,23,DEU,3,BOG,11,9,249,4,201,2,8,2,8537109000,13,11,U,2,5,3,8422,37321893,0,0,0,0
2304,3,23,DEU,3,BOG,25,3,23,1,199,1,8,2,1211909000,25,33,KG,50,90,50,5904,26760237,0,1419,45,0
2304,3,23,DEU,3,BOG,25,3,23,1,199,1,8,2,1302199900,25,33,KG,10,31,10,198162,888251257,0,2200,112,0
2304,3,23,DEU,3,BOG,25,3,253,1,198,1,8,2,603110000,25,11,U,6500,83,75,1505,6808078,0,0,0,0
2304,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,603121000,25,11,U,19110,603,543,3068,13666609,3067,0,0,0
