FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2302,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,2710191500,68,67,M3,65,52359,52359,87627,419142789,0,0,0,0
2302,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,2710191500,68,67,M3,12,9836,9836,15583,74539142,0,0,0,0
2302,3,23,DEU,3,BOG,5,9,149,1,198,1,8,2,810905000,5,33,KG,2512,3339,2512,12308,58709222,0,0,0,0
2302,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6107110000,5,11,U,46,3,3,219,1063092,0,33,0,0
2302,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6107120000,5,11,U,697,49,49,3263,15822468,0,488,0,0
2302,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6109100000,5,11,U,2,0,0,12,56644,0,2,0,0
2302,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6112310000,5,11,U,48,3,3,401,1945486,0,60,0,0
2302,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6203430000,5,11,U,22,2,2,215,1042869,0,32,0,0
2302,3,23,DEU,3,BOG,8,0,580,1,104,2,8,2,8481400090,8,11,U,10,10,10,10,49503,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,23,1,4,1,8,2,9805000000,11,11,U,1,338,304,1500,7449495,0,674,8,568
2302,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,7007210000,11,11,U,63,4402,3028,83281,400424832,73783,25973,2100,0
2302,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,301110090,11,11,U,29878,110,100,8674,41429001,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,23,1,2,2,8,2,7007210000,11,11,U,8,310,280,427,2053653,0,2008,50,0
2302,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,106190000,11,11,U,3,78,62,150,725978,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,23,1,198,2,6,1,7007210000,11,11,U,1,139,85,909,4410496,599,1161,50,0
2302,3,23,DEU,3,BOG,11,3,253,1,198,1,6,2,603121000,11,11,U,1500,45,41,270,1329726,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,253,1,198,1,6,2,603129000,11,11,U,13100,445,407,2497,12297500,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,493,1,2,2,8,2,4202121090,11,11,U,30,1,1,30,147568,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,493,1,2,2,8,2,4203400000,11,11,U,30,388,388,180,885409,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,493,1,2,2,8,2,4820900000,11,11,U,150,15,15,150,737840,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,493,1,2,2,8,2,4903000000,11,11,U,1,35,35,280,1377303,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,493,1,2,2,8,2,4911990000,11,33,KG,15,15,15,300,1475681,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,493,1,2,2,8,2,6403590000,11,19,2U,15,2,2,80,393515,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,493,1,2,2,8,2,6913900000,11,11,U,80,3,3,80,393515,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,493,1,2,2,8,2,7010200090,11,11,U,300,162,162,800,3935151,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,493,1,2,2,8,2,8215990000,11,11,U,30,2,2,30,147568,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,493,1,2,2,8,2,8471609000,11,11,U,1,1,1,70,344326,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,198,1,6,1,603129000,11,11,U,73940,2775,2365,13388,65531392,12968,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603121000,11,11,U,16200,518,463,2840,13612103,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603129000,11,11,U,91520,3342,2814,16589,80611345,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,198,1,8,1,603141000,11,11,U,100,6,4,24,112074,24,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,198,1,8,1,603149000,11,11,U,180,11,8,58,268977,57,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,198,1,8,1,603900000,11,11,U,3003,35,34,1556,7701773,1507,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,198,1,8,2,603193000,11,11,U,32,24,22,3,15289,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,198,1,8,2,8303009000,11,11,U,1,406,406,30170,147178598,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,2,2,8,2,3920209000,11,33,KG,495,495,495,1238,6003673,0,1913,0,723
2302,3,23,DEU,3,BOG,11,3,573,1,2,2,8,2,3923900000,11,11,U,10,204,204,363,1762799,0,562,0,212
2302,3,23,DEU,3,BOG,11,3,573,1,2,2,8,2,4420900000,11,11,U,2,70,70,84,408292,0,130,0,49
2302,3,23,DEU,3,BOG,11,3,573,1,2,2,8,2,4808100000,11,33,KG,12,12,12,7,35742,0,11,0,4
2302,3,23,DEU,3,BOG,11,3,573,1,104,2,8,2,8466930000,76,11,U,1,16,16,13558,65332681,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,104,2,8,2,8481805900,76,11,U,1,0,0,273,1316640,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,104,2,8,2,8537109000,76,11,U,1,0,0,239,1149964,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,104,2,8,2,9001900000,76,11,U,1,2,2,1390,6699954,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,104,2,8,2,9013900000,76,11,U,4,19,19,15661,75465902,0,0,0,0
2302,3,23,DEU,3,BOG,11,3,573,1,104,2,8,2,9018312000,76,11,U,17,114,103,53550,259698758,0,877,293,0
2302,3,23,DEU,3,BOG,11,5,245,1,198,1,8,1,603900000,11,11,U,5730,191,186,9316,44508855,7865,0,0,0
2302,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,9018190000,11,11,U,1,9,9,3361,15695883,0,0,0,0
2302,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,9026101900,5,11,U,107,122,116,535,2634827,0,0,0,0
2302,3,23,DEU,3,BOG,11,5,275,4,201,2,8,2,8501311000,11,11,U,1,9,9,841,4140323,0,90,10,0
2302,3,23,DEU,3,BOG,11,5,275,4,201,2,8,2,9018909000,11,11,U,5,44,41,7203,35476392,0,767,89,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,6,1,603129000,11,11,U,59360,2193,1939,11047,53551644,10730,0,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,6,1,7007210000,11,11,U,25,2340,1671,26351,124770802,21742,14937,422,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,603110000,11,11,U,10400,631,622,3016,14712772,0,0,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,603121000,11,11,U,2120,69,63,367,1753744,0,0,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,603129000,11,11,U,15040,540,492,2704,12914277,0,0,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,1,603121000,11,11,U,2400,72,60,432,2008238,416,0,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,1,603129000,11,11,U,44535,1595,1434,7099,33923873,6800,0,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,1,603900000,11,11,U,36384,1219,1182,49245,235279601,43727,0,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,603121000,11,11,U,1800,68,56,297,1475000,0,0,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,603129000,11,11,U,7680,296,244,1381,6857508,0,0,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,804200000,11,33,KG,18,22,18,57,264774,0,54,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,804501000,11,33,KG,24,30,24,72,333886,0,68,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810901030,11,33,KG,133,165,133,325,1517666,0,309,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810902000,11,33,KG,33,41,33,121,565039,0,115,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810903000,11,33,KG,89,111,89,234,1092719,0,223,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810904000,11,33,KG,51,63,51,174,813469,0,166,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810905000,11,33,KG,817,1014,817,3186,14877792,0,3034,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810909010,11,33,KG,6,7,6,30,140092,0,29,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810909020,11,33,KG,5,6,5,19,88725,0,18,0,0
2302,3,23,DEU,3,BOG,11,7,827,1,2,2,8,2,7007210000,11,11,U,18,425,242,977,4669323,0,2925,54,0
2302,3,23,DEU,3,BOG,11,7,827,1,104,2,6,1,7007210000,11,11,U,2,233,104,761,3633750,519,860,76,0
2302,3,23,DEU,3,BOG,11,7,827,1,198,2,6,2,7007210000,11,11,U,1,113,53,926,4424130,0,1023,50,0
2302,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,603121000,11,11,U,7200,283,265,1368,6577536,1333,0,0,0
2302,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,603129000,11,11,U,11760,474,435,2185,10599758,2123,0,0,0
2302,3,23,DEU,3,BOG,11,8,618,1,198,1,6,2,603110000,11,11,U,2276,196,181,990,4918157,0,0,0,0
2302,3,23,DEU,3,BOG,11,8,618,1,198,1,8,1,603121000,11,11,U,22260,777,716,4205,19548713,4058,0,0,0
2302,3,23,DEU,3,BOG,11,8,618,1,198,1,8,1,603129000,11,11,U,49300,1701,1565,11052,51377618,10786,0,0,0
2302,3,23,DEU,3,BOG,11,8,618,1,198,1,8,2,603129000,11,11,U,15200,445,294,2508,11497776,0,0,0,0
2302,3,23,DEU,3,BOG,11,9,149,1,198,1,8,1,3305900000,11,33,KG,1481,1644,1481,7225,34509696,2194,3634,1,0
2302,3,23,DEU,3,BOG,11,9,169,1,198,1,6,1,603121000,11,11,U,3600,109,99,420,2008940,400,0,0,17
2302,3,23,DEU,3,BOG,11,9,169,1,198,1,6,1,603129000,11,11,U,57220,1925,1755,7339,35063760,7029,0,0,292
2302,3,23,DEU,3,BOG,11,9,169,1,198,1,8,2,6204490000,11,11,U,23,15,14,5758,27685270,0,0,0,0
2302,3,23,DEU,3,BOG,11,9,169,1,198,1,8,2,7103912000,15,53,C/T,110,0,0,94000,465331020,0,0,0,0
2302,3,23,DEU,3,BOG,11,9,169,1,198,1,8,2,7113190000,11,33,KG,0,0,0,106000,524734980,0,0,0,0
2302,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,603121000,11,11,U,3600,119,109,648,3012358,624,0,0,0
2302,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,603129000,11,11,U,37791,1302,1198,7004,32559495,6755,0,0,0
2302,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,7007210000,11,11,U,3,170,124,2165,10560658,1808,871,50,0
2302,3,23,DEU,3,BOG,11,9,249,1,199,1,8,2,301110020,11,11,U,40,1,1,80,371896,0,103,0,0
2302,3,23,DEU,3,BOG,11,9,249,1,199,1,8,2,301110090,11,11,U,52198,1271,1017,10724,50576194,0,9200,0,0
2302,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,803901200,15,33,KG,6,8,6,2,9850,0,0,0,0
2302,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,810901020,15,33,KG,599,791,599,2922,14389602,0,0,0,0
2302,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,810903000,15,33,KG,182,240,182,487,2398431,0,0,0,0
2302,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,810904000,15,33,KG,10,13,10,4,19700,0,0,0,0
2302,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,810905000,15,33,KG,21155,27921,21155,89874,442620475,0,0,0,0
2302,3,23,DEU,3,BOG,17,3,23,1,198,1,8,2,901211000,17,33,KG,120,131,120,1605,7668257,0,745,75,0
2302,3,23,DEU,3,BOG,17,9,169,1,198,1,8,2,8438809000,17,11,U,1,70,60,4946,23657905,0,950,0,0
2302,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,1211909000,25,33,KG,50,122,50,22592,107938476,0,1880,101,0
2302,3,23,DEU,3,BOG,25,3,253,1,198,1,8,1,603149000,25,11,U,1200,59,50,388,1892757,383,0,0,0
2302,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,603121000,25,11,U,9120,287,259,1481,7074725,1478,0,0,0
2302,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,603129000,25,11,U,123260,4284,3913,21743,103905138,21503,0,0,0
2302,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,603149000,25,11,U,6200,284,127,1849,8736624,1825,0,0,0
2302,3,23,DEU,3,BOG,25,3,573,1,104,2,8,2,9031809000,11,11,U,2,10698,10698,126000,602641089,0,33120,0,0
2302,3,23,DEU,3,BOG,25,3,573,1,198,2,8,2,603129000,25,11,U,220,7,4,35,173357,0,0,0,0
2302,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,804501000,25,33,KG,200,209,200,2895,13847575,0,0,0,0
2302,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,813400000,25,33,KG,30,31,30,1057,5054832,0,0,0,0
2302,3,23,DEU,3,BOG,25,5,245,1,104,2,8,2,8479900000,11,11,U,1,261,223,757,3609441,0,474,0,0
2302,3,23,DEU,3,BOG,25,7,827,1,198,1,8,1,603149000,25,11,U,1700,86,75,531,2479632,524,0,0,0
2302,3,23,DEU,3,BOG,25,7,827,1,198,1,8,2,804200000,25,33,KG,78,98,78,232,1116282,0,0,0,0
2302,3,23,DEU,3,BOG,25,7,827,1,198,1,8,2,804501000,25,33,KG,25,32,25,64,306079,0,0,0,0
2302,3,23,DEU,3,BOG,25,7,827,1,198,1,8,2,807190000,25,33,KG,6,8,6,11,55221,0,0,0,0
2302,3,23,DEU,3,BOG,25,7,827,1,198,1,8,2,810901010,25,33,KG,440,555,440,2025,9758669,0,0,0,0
2302,3,23,DEU,3,BOG,25,7,827,1,198,1,8,2,810901020,25,33,KG,313,394,313,1222,5888354,0,0,0,0
