FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2306,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,2710191500,68,67,M3,164,132456,132456,179772,752017443,0,0,0,0
2306,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,2710191500,68,67,M3,16,12940,12940,15070,63023004,0,0,0,0
2306,3,23,DEU,3,BOG,5,3,23,1,198,2,8,2,603199090,5,11,U,160,10,7,0,709,0,0,0,0
2306,3,23,DEU,3,BOG,5,3,253,1,198,1,8,2,603199010,5,11,U,1171,187,149,731,3137147,0,698,0,0
2306,3,23,DEU,3,BOG,5,3,573,1,198,1,8,2,810905000,5,33,KG,756,999,756,4511,19428106,0,1799,0,0
2306,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204420000,5,11,U,15,21,19,4275,17722953,0,0,0,0
2306,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204430000,5,11,U,5,7,6,1380,5721094,0,0,0,0
2306,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204490000,5,11,U,23,31,29,14755,61170099,0,0,0,0
2306,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6112410000,5,11,U,80,52,52,6272,26147215,0,0,0,0
2306,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204420000,5,11,U,56,36,36,14027,58477714,0,0,0,0
2306,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204490000,5,11,U,24,16,16,8832,36819548,0,0,0,0
2306,3,23,DEU,3,BOG,8,3,23,1,198,1,8,2,3002121200,8,33,KG,1004,1171,1004,155598,689936866,0,0,0,0
2306,3,23,DEU,3,BOG,11,0,580,1,198,1,8,2,3926909090,11,11,U,9870,214,214,10843,46700716,0,1157,80,0
2306,3,23,DEU,3,BOG,11,1,211,1,198,1,8,2,3926909090,11,11,U,6500,193,193,5520,23774750,0,1046,80,0
2306,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,7007210000,11,11,U,9,1047,629,22978,95480331,20349,8153,350,0
2306,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,301110090,11,11,U,7890,321,100,2490,10480759,0,0,0,0
2306,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,603193000,11,11,U,2250,113,105,338,1399181,0,0,0,0
2306,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,810400000,11,33,KG,682,770,682,3445,14377758,0,1553,0,0
2306,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,901211000,11,33,KG,383,403,383,5724,23730391,0,1448,75,0
2306,3,23,DEU,3,BOG,11,3,23,1,104,2,6,2,7007210000,11,11,U,1,97,67,384,1596546,0,780,50,0
2306,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,106190000,11,11,U,1,31,12,25,106125,0,0,0,0
2306,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,3923109000,25,11,U,4,25,18,34,140074,0,110,2,4
2306,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,3926909090,25,11,U,1,9,6,13,54195,0,43,1,2
2306,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,8504409090,11,11,U,45,119,115,45731,190805366,0,37,14,0
2306,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,9401800000,25,11,U,12,49,35,131,546957,0,431,7,16
2306,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,9403700000,25,11,U,17,382,270,878,3659443,0,2886,50,107
2306,3,23,DEU,3,BOG,11,3,23,1,198,2,6,2,7007210000,11,11,U,3,159,129,161,670086,0,1102,54,0
2306,3,23,DEU,3,BOG,11,3,23,4,201,2,8,2,8525890000,11,11,U,1,3,3,3245,13571661,0,346,40,0
2306,3,23,DEU,3,BOG,11,3,23,4,201,2,8,2,8543200000,11,11,U,3,12,11,3596,15037568,0,383,44,0
2306,3,23,DEU,3,BOG,11,3,23,4,201,2,8,2,9018901000,11,11,U,2,9,8,1558,6516070,0,166,19,0
2306,3,23,DEU,3,BOG,11,3,23,4,201,2,8,2,9018909090,11,11,U,3,12,10,1970,8237183,0,210,24,0
2306,3,23,DEU,3,BOG,11,3,253,1,198,1,8,1,603900000,11,11,U,12892,498,483,15449,64611896,14429,0,0,0
2306,3,23,DEU,3,BOG,11,3,573,1,198,1,6,1,603129000,11,11,U,93840,3208,2679,17174,71855973,16658,0,0,0
2306,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603121000,11,11,U,28980,932,838,5216,21771480,0,0,0,0
2306,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603129000,11,11,U,108960,3785,3123,19798,82631790,0,0,0,0
2306,3,23,DEU,3,BOG,11,5,245,1,198,1,6,1,603121000,11,11,U,10800,346,317,2052,8590288,1999,0,0,0
2306,3,23,DEU,3,BOG,11,5,245,1,198,1,6,1,603129000,11,11,U,15920,645,588,2995,12537842,2915,0,0,0
2306,3,23,DEU,3,BOG,11,5,245,1,199,1,8,2,1515900090,11,33,KG,414,473,414,41379,171823809,0,1950,0,0
2306,3,23,DEU,3,BOG,11,5,275,1,198,1,6,1,603129000,11,11,U,14580,527,445,2624,10976107,2538,0,0,0
2306,3,23,DEU,3,BOG,11,7,827,1,198,1,6,1,603129000,11,11,U,21760,591,519,3917,16381350,3789,0,0,0
2306,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,603121000,11,11,U,4150,146,134,744,3105203,0,0,0,0
2306,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,603129000,11,11,U,16090,601,549,2896,12087754,0,0,0,0
2306,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,603121000,11,11,U,600,19,15,99,413192,0,0,0,0
2306,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,603129000,11,11,U,23520,651,581,4222,17582371,0,0,0,0
2306,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,804200000,11,33,KG,66,82,66,176,759758,0,145,0,0
2306,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,804501000,11,33,KG,48,60,48,130,559913,0,107,0,0
2306,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,804502000,11,33,KG,57,71,57,208,895860,0,171,0,0
2306,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810901030,11,33,KG,144,179,144,532,2291335,0,436,0,0
