FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2303,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,2710191500,68,67,M3,96,77976,77976,114499,543293691,0,0,0,0
2303,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,2710191500,68,67,M3,3,2416,2416,3229,15321159,0,0,0,0
2303,3,23,DEU,3,BOG,5,3,573,1,198,1,8,2,810905000,5,33,KG,3469,4672,3469,16388,77810144,0,0,0,0
2303,3,23,DEU,3,BOG,5,7,827,1,198,1,8,2,603199010,5,11,U,1110,185,148,783,3706383,0,0,0,0
2303,3,23,DEU,3,BOG,5,8,618,1,198,1,8,2,603199010,5,11,U,35079,5162,4649,19513,91646667,0,0,0,0
2303,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6112410000,5,11,U,12,9,8,720,3423686,0,0,0,0
2303,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204420000,5,11,U,53,38,35,12892,61303007,0,0,0,0
2303,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204490000,5,11,U,3,2,2,1104,5249652,0,0,0,0
2303,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6217100000,5,11,U,12,9,8,1152,5477898,0,0,0,0
2303,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6107120000,5,11,U,322,17,15,1597,7577400,0,282,0,0
2303,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6112410000,5,11,U,280,171,145,19040,90343848,0,0,0,0
2303,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204420000,5,11,U,345,225,190,70030,332287900,0,0,0,0
2303,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204490000,5,11,U,38,24,21,11886,56400374,0,0,0,0
2303,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204690000,5,11,U,20,12,10,2108,10002355,0,0,0,0
2303,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6206900000,5,11,U,30,18,16,4182,19843381,0,0,0,0
2303,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6217100000,5,11,U,155,95,80,11900,56464905,0,0,0,0
2303,3,23,DEU,3,BOG,8,3,23,1,198,1,8,2,3002121200,8,33,KG,595,595,595,71050,331007030,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,7007210000,11,11,U,6,808,507,9448,45264251,7579,5524,100,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,301110020,11,11,U,25,53,50,175,830925,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,301110090,11,11,U,20675,798,509,10186,48260060,0,2539,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,901211000,11,33,KG,218,235,218,2837,13218758,0,920,70,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,3304300000,11,33,KG,509,531,509,16324,78424461,0,2856,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202111000,11,11,U,78,35,35,3456,16508507,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202210000,11,11,U,414,183,183,11515,54994336,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202310000,11,11,U,215,95,95,3490,16669796,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202911000,11,11,U,3,1,1,148,707387,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4203300000,11,11,U,44,19,19,9,45086,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,7103101000,15,53,C/T,11,0,0,100,481410,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,7103912000,15,53,C/T,73,0,0,11100,53436621,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,301110090,11,11,U,16348,110,100,3990,19248758,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,106190000,11,11,U,1,7,6,50,241776,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,253,1,198,1,6,2,603121000,11,11,U,3200,89,81,600,2861856,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,253,1,198,1,6,2,603129000,11,11,U,8900,290,263,1762,8404317,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,253,1,198,1,6,2,603199090,11,11,U,200,20,18,180,858557,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,573,1,198,1,6,1,603129000,11,11,U,75060,2919,2480,13782,66466999,13378,0,0,0
2303,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603121000,11,11,U,14940,521,474,2689,12826839,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603129000,11,11,U,91200,3360,2830,16726,79780914,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,573,1,198,1,8,1,603900000,11,11,U,20736,442,429,20075,95320240,18145,0,0,0
2303,3,23,DEU,3,BOG,11,3,573,1,198,1,8,1,3305900000,11,33,KG,977,1092,977,4401,21283352,1084,2378,0,0
2303,3,23,DEU,3,BOG,11,3,573,1,104,2,8,2,8418691190,11,11,U,1,1543,1530,27458,131275064,0,0,0,0
2303,3,23,DEU,3,BOG,11,3,573,4,201,2,8,2,9027909000,13,11,U,2,40,40,26799,127825561,0,518,1,188
2303,3,23,DEU,3,BOG,11,5,245,1,198,1,6,1,7007210000,11,11,U,4,255,148,4384,20546500,3629,1005,54,0
2303,3,23,DEU,3,BOG,11,5,245,1,104,2,8,1,7007210000,11,11,U,7,220,175,1461,7033752,961,1107,50,0
2303,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,6307909000,11,11,U,6,9,3,27,126519,0,6,0,0
2303,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,8543709000,11,11,U,12,74,25,2454,11354677,0,563,39,0
2303,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,9018500000,11,11,U,1,175,158,77497,374737760,0,0,0,0
2303,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,9021310000,11,11,U,138,60,60,56359,274272047,0,0,0,0
2303,3,23,DEU,3,BOG,11,5,275,4,201,2,8,2,9018390000,11,11,U,11,61,50,30444,147616258,0,916,158,0
2303,3,23,DEU,3,BOG,11,5,275,4,201,2,8,2,9018909000,11,11,U,1,6,5,3920,19007218,0,118,20,0
