FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2305,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,2710191500,68,67,M3,77,62199,62199,96132,436470648,0,0,0,0
2305,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,2710191500,68,67,M3,3,2043,2043,2722,12356944,0,0,0,0
2305,3,23,DEU,3,BOG,5,0,580,1,198,1,8,2,6204420000,5,11,U,45,42,39,11068,50123320,0,0,0,0
2305,3,23,DEU,3,BOG,5,0,580,1,198,1,8,2,6204440000,5,11,U,6,6,5,2208,9999303,0,0,0,0
2305,3,23,DEU,3,BOG,5,0,580,1,198,1,8,2,6204490000,5,11,U,6,6,5,1800,8151606,0,0,0,0
2305,3,23,DEU,3,BOG,5,3,253,1,198,1,8,2,603199010,5,11,U,600,98,77,469,2106980,0,0,0,0
2305,3,23,DEU,3,BOG,5,3,573,1,198,1,8,2,603199010,5,11,U,21390,2962,2666,12228,54910812,0,0,0,0
2305,3,23,DEU,3,BOG,5,3,573,1,198,1,8,2,603199090,5,11,U,42,3,3,0,1886,0,0,0,0
2305,3,23,DEU,3,BOG,5,3,573,1,198,1,8,2,810905000,5,33,KG,932,1260,932,4794,21766935,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,603199010,5,11,U,18800,2630,2367,10855,48429758,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,169,1,199,1,8,2,6204420000,5,11,U,35,32,31,10384,46425099,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,169,1,199,1,8,2,6204440000,5,11,U,14,13,12,5922,26476255,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,169,1,199,1,8,2,6204490000,5,11,U,22,20,19,9306,41605544,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,169,1,199,1,8,2,6204590000,5,11,U,10,9,9,2070,9254618,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,169,1,199,1,8,2,6204690000,5,11,U,9,8,8,3312,14807389,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,169,1,199,1,8,2,6206400000,5,11,U,20,18,18,4646,20771476,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,169,1,199,1,8,2,6206900000,5,11,U,10,9,9,2300,10282909,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,169,1,199,1,8,2,6211499000,5,11,U,10,9,9,2390,10685284,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6112410000,5,11,U,115,86,73,9095,41184889,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204420000,5,11,U,310,232,197,64668,292836104,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204440000,5,11,U,24,18,15,7507,33994854,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6204490000,5,11,U,70,52,44,18428,83447512,0,0,0,0
2305,3,23,DEU,3,BOG,5,9,249,1,198,1,8,2,6217100000,5,11,U,55,41,35,4862,22016595,0,0,0,0
2305,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,7007210000,11,11,U,135,9801,6770,180687,815401789,161895,42877,2347,0
2305,3,23,DEU,3,BOG,11,3,23,1,198,1,8,1,7007210000,11,11,U,32,1518,1287,99895,455997631,97283,8116,229,0
2305,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,301110090,11,11,U,7737,332,100,2193,9847842,0,0,0,0
2305,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202111000,11,11,U,117,56,53,10338,45993350,0,571,0,0
2305,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202119000,11,11,U,9,4,4,568,2526770,0,31,0,0
2305,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202210000,11,11,U,353,169,160,10221,45470734,0,564,0,0
2305,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202310000,11,11,U,438,210,198,6495,28895133,0,359,0,0
2305,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202911000,11,11,U,1,0,0,69,307110,0,4,0,0
2305,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202919000,11,11,U,61,29,28,1232,5482150,0,68,0,0
2305,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,8205700000,11,11,U,1,49,43,5640,25327365,0,78,0,0
2305,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,8206000000,11,11,U,1,49,43,2117,9504492,0,29,0,0
